nombre_playa,ocupacion,fecha
Ballenas,290,01/01/21
Caracol,410,01/01/21
Chac-Mool,1000,01/01/21
Del Niño,1180,01/01/21
Delfines,2750,01/01/21
Gaviota Azul,6500,01/01/21
Langosta,660,01/01/21
Las Perlas,405,01/01/21
Marlin,1600,01/01/21
Pez Volador,640,01/01/21
Tortugas,1400,01/01/21
Ballenas,220,02/01/21
Caracol,640,02/01/21
Chac-Mool,700,02/01/21
Del Niño,550,02/01/21
Delfines,2000,02/01/21
Gaviota Azul,2275,02/01/21
Langosta,700,02/01/21
Las Perlas,160,02/01/21
Marlin,315,02/01/21
Pez Volador,430,02/01/21
Tortugas,580,02/01/21
Ballenas,105,03/01/21
Caracol,400,03/01/21
Chac-Mool,900,03/01/21
Del Niño,730,03/01/21
Delfines,4050,03/01/21
Gaviota Azul,2000,03/01/21
Langosta,830,03/01/21
Las Perlas,178,03/01/21
Marlin,1180,03/01/21
Pez Volador,510,03/01/21
Tortugas,750,03/01/21
Ballenas,111,04/01/21
Chac-Mool,30,04/01/21
Del Niño,120,04/01/21
Delfines,900,04/01/21
Gaviota Azul,650,04/01/21
Langosta,420,04/01/21
Las Perlas,93,04/01/21
Marlin,330,04/01/21
Pez Volador,175,04/01/21
Ballenas,145,05/01/21
Caracol,175,05/01/21
Chac-Mool,345,05/01/21
Del Niño,360,05/01/21
Delfines,1320,05/01/21
Gaviota Azul,780,05/01/21
Langosta,188,05/01/21
Las Perlas,100,05/01/21
Marlin,550,05/01/21
Pez Volador,170,05/01/21
Tortugas,570,05/01/21
Ballenas,80,06/01/21
Chac-Mool,140,06/01/21
Del Niño,900,06/01/21
Delfines,740,06/01/21
Gaviota Azul,1050,06/01/21
Langosta,450,06/01/21
Las Perlas,165,06/01/21
Marlin,700,06/01/21
Pez Volador,130,06/01/21
Tortugas,550,06/01/21
Ballenas,100,07/01/21
Caracol,140,07/01/21
Chac-Mool,100,07/01/21
Del Niño,130,07/01/21
Delfines,500,07/01/21
Gaviota Azul,1050,07/01/21
Langosta,130,07/01/21
Las Perlas,57,07/01/21
Marlin,180,07/01/21
Pez Volador,180,07/01/21
Tortugas,160,07/01/21
Ballenas,170,08/01/21
Caracol,140,08/01/21
Chac-Mool,950,08/01/21
Del Niño,400,08/01/21
Delfines,850,08/01/21
Gaviota Azul,1000,08/01/21
Langosta,100,08/01/21
Las Perlas,98,08/01/21
Marlin,400,08/01/21
Pez Volador,110,08/01/21
Tortugas,600,08/01/21
Ballenas,750,09/01/21
Caracol,185,09/01/21
Chac-Mool,810,09/01/21
Del Niño,210,09/01/21
Delfines,1750,09/01/21
Gaviota Azul,1500,09/01/21
Langosta,320,09/01/21
Las Perlas,140,09/01/21
Marlin,850,09/01/21
Pez Volador,200,09/01/21
Tortugas,710,09/01/21
Ballenas,147,10/01/21
Caracol,170,10/01/21
Chac-Mool,790,10/01/21
Del Niño,695,10/01/21
Delfines,1100,10/01/21
Gaviota Azul,1300,10/01/21
Langosta,260,10/01/21
Las Perlas,140,10/01/21
Marlin,1230,10/01/21
Pez Volador,175,10/01/21
Tortugas,600,10/01/21
Ballenas,13,11/01/21
Chac-Mool,55,11/01/21
Del Niño,60,11/01/21
Delfines,410,11/01/21
Gaviota Azul,75,11/01/21
Langosta,21,11/01/21
Las Perlas,11,11/01/21
Marlin,70,11/01/21
Pez Volador,45,11/01/21
Tortugas,250,11/01/21
Ballenas,75,12/01/21
Caracol,185,12/01/21
Chac-Mool,225,12/01/21
Del Niño,55,12/01/21
Delfines,370,12/01/21
Gaviota Azul,1505,12/01/21
Langosta,66,12/01/21
Las Perlas,85,12/01/21
Marlin,190,12/01/21
Pez Volador,57,12/01/21
Tortugas,73,12/01/21
Ballenas,220,13/01/21
Chac-Mool,432,13/01/21
Del Niño,233,13/01/21
Delfines,860,13/01/21
Gaviota Azul,730,13/01/21
Langosta,210,13/01/21
Las Perlas,120,13/01/21
Marlin,270,13/01/21
Pez Volador,65,13/01/21
Tortugas,455,13/01/21
Ballenas,200,14/01/21
Caracol,125,14/01/21
Chac-Mool,45,14/01/21
Del Niño,76,14/01/21
Delfines,500,14/01/21
Gaviota Azul,560,14/01/21
Langosta,160,14/01/21
Las Perlas,38,14/01/21
Marlin,105,14/01/21
Pez Volador,50,14/01/21
Tortugas,110,14/01/21
Ballenas,125,15/01/21
Caracol,145,15/01/21
Chac-Mool,280,15/01/21
Del Niño,280,15/01/21
Delfines,900,15/01/21
Gaviota Azul,780,15/01/21
Langosta,89,15/01/21
Las Perlas,62,15/01/21
Marlin,355,15/01/21
Pez Volador,38,15/01/21
Tortugas,800,15/01/21
Ballenas,100,16/01/21
Caracol,145,16/01/21
Chac-Mool,249,16/01/21
Del Niño,107,16/01/21
Delfines,780,16/01/21
Gaviota Azul,1050,16/01/21
Langosta,360,16/01/21
Las Perlas,79,16/01/21
Marlin,445,16/01/21
Pez Volador,60,16/01/21
Tortugas,1070,16/01/21
Ballenas,130,17/01/21
Caracol,160,17/01/21
Chac-Mool,190,17/01/21
Del Niño,235,17/01/21
Delfines,1300,17/01/21
Gaviota Azul,550,17/01/21
Langosta,405,17/01/21
Las Perlas,64,17/01/21
Marlin,275,17/01/21
Pez Volador,70,17/01/21
Tortugas,590,17/01/21
Ballenas,60,18/01/21
Caracol,165,18/01/21
Chac-Mool,190,18/01/21
Del Niño,165,18/01/21
Delfines,1110,18/01/21
Gaviota Azul,900,18/01/21
Langosta,149,18/01/21
Las Perlas,53,18/01/21
Marlin,400,18/01/21
Pez Volador,60,18/01/21
Tortugas,250,18/01/21
Ballenas,170,19/01/21
Caracol,162,19/01/21
Chac-Mool,185,19/01/21
Del Niño,160,19/01/21
Delfines,760,19/01/21
Gaviota Azul,1750,19/01/21
Langosta,295,19/01/21
Las Perlas,110,19/01/21
Marlin,360,19/01/21
Pez Volador,100,19/01/21
Tortugas,173,19/01/21
Ballenas,169,20/01/21
Chac-Mool,220,20/01/21
Del Niño,510,20/01/21
Delfines,1120,20/01/21
Gaviota Azul,890,20/01/21
Langosta,270,20/01/21
Las Perlas,96,20/01/21
Marlin,580,20/01/21
Pez Volador,70,20/01/21
Tortugas,440,20/01/21
Ballenas,345,21/01/21
Caracol,360,21/01/21
Chac-Mool,116,21/01/21
Del Niño,186,21/01/21
Delfines,1000,21/01/21
Gaviota Azul,1020,21/01/21
Langosta,650,21/01/21
Las Perlas,86,21/01/21
Marlin,274,21/01/21
Pez Volador,130,21/01/21
Tortugas,520,21/01/21
Ballenas,150,22/01/21
Chac-Mool,510,22/01/21
Del Niño,875,22/01/21
Delfines,1200,22/01/21
Gaviota Azul,670,22/01/21
Langosta,165,22/01/21
Las Perlas,115,22/01/21
Marlin,430,22/01/21
Pez Volador,100,22/01/21
Tortugas,700,22/01/21
Ballenas,235,23/01/21
Caracol,200,23/01/21
Chac-Mool,450,23/01/21
Del Niño,320,23/01/21
Delfines,1680,23/01/21
Gaviota Azul,1250,23/01/21
Langosta,1050,23/01/21
Las Perlas,200,23/01/21
Marlin,1500,23/01/21
Pez Volador,245,23/01/21
Tortugas,800,23/01/21
Ballenas,230,24/01/21
Caracol,280,24/01/21
Chac-Mool,580,24/01/21
Del Niño,580,24/01/21
Delfines,1640,24/01/21
Gaviota Azul,1540,24/01/21
Langosta,1300,24/01/21
Las Perlas,315,24/01/21
Marlin,2250,24/01/21
Pez Volador,370,24/01/21
Tortugas,900,24/01/21
Ballenas,80,25/01/21
Caracol,75,25/01/21
Chac-Mool,149,25/01/21
Del Niño,310,25/01/21
Delfines,910,25/01/21
Gaviota Azul,780,25/01/21
Langosta,138,25/01/21
Las Perlas,75,25/01/21
Marlin,240,25/01/21
Pez Volador,70,25/01/21
Tortugas,900,25/01/21
Ballenas,75,26/01/21
Caracol,550,26/01/21
Chac-Mool,230,26/01/21
Del Niño,440,26/01/21
Delfines,700,26/01/21
Gaviota Azul,630,26/01/21
Langosta,200,26/01/21
Las Perlas,73,26/01/21
Marlin,280,26/01/21
Pez Volador,160,26/01/21
Tortugas,420,26/01/21
Ballenas,58,27/01/21
Caracol,155,27/01/21
Chac-Mool,95,27/01/21
Del Niño,240,27/01/21
Delfines,1000,27/01/21
Gaviota Azul,750,27/01/21
Langosta,200,27/01/21
Las Perlas,110,27/01/21
Marlin,280,27/01/21
Pez Volador,110,27/01/21
Tortugas,550,27/01/21
Ballenas,140,28/01/21
Caracol,225,28/01/21
Chac-Mool,450,28/01/21
Del Niño,180,28/01/21
Delfines,900,28/01/21
Gaviota Azul,900,28/01/21
Langosta,280,28/01/21
Las Perlas,61,28/01/21
Marlin,550,28/01/21
Pez Volador,120,28/01/21
Tortugas,230,28/01/21
Ballenas,200,01/02/21
Caracol,160,01/02/21
Chac-Mool,350,01/02/21
Del Niño,465,01/02/21
Delfines,1800,01/02/21
Gaviota Azul,2400,01/02/21
Langosta,240,01/02/21
Las Perlas,170,01/02/21
Marlin,580,01/02/21
Pez Volador,172,01/02/21
Tortugas,730,01/02/21
Ballenas,90,02/02/21
Caracol,108,02/02/21
Chac-Mool,100,02/02/21
Del Niño,180,02/02/21
Delfines,1040,02/02/21
Gaviota Azul,950,02/02/21
Langosta,80,02/02/21
Las Perlas,47,02/02/21
Marlin,270,02/02/21
Pez Volador,75,02/02/21
Tortugas,240,02/02/21
Ballenas,208,03/02/21
Caracol,136,03/02/21
Chac-Mool,150,03/02/21
Del Niño,165,03/02/21
Delfines,1100,03/02/21
Gaviota Azul,600,03/02/21
Langosta,95,03/02/21
Las Perlas,63,03/02/21
Marlin,450,03/02/21
Pez Volador,80,03/02/21
Tortugas,400,03/02/21
Ballenas,200,04/02/21
Caracol,135,04/02/21
Chac-Mool,100,04/02/21
Del Niño,105,04/02/21
Delfines,550,04/02/21
Gaviota Azul,780,04/02/21
Langosta,165,04/02/21
Las Perlas,79,04/02/21
Marlin,600,04/02/21
Pez Volador,115,04/02/21
Tortugas,210,04/02/21
Ballenas,105,05/02/21
Chac-Mool,300,05/02/21
Del Niño,248,05/02/21
Delfines,1160,05/02/21
Gaviota Azul,900,05/02/21
Langosta,115,05/02/21
Las Perlas,93,05/02/21
Marlin,400,05/02/21
Pez Volador,84,05/02/21
Tortugas,600,05/02/21
Ballenas,135,06/02/21
Chac-Mool,210,06/02/21
Del Niño,670,06/02/21
Delfines,950,06/02/21
Gaviota Azul,1230,06/02/21
Langosta,405,06/02/21
Las Perlas,190,06/02/21
Marlin,1200,06/02/21
Pez Volador,120,06/02/21
Tortugas,600,06/02/21
Ballenas,250,07/02/21
Caracol,255,07/02/21
Chac-Mool,700,07/02/21
Del Niño,480,07/02/21
Delfines,1650,07/02/21
Gaviota Azul,1390,07/02/21
Langosta,700,07/02/21
Las Perlas,169,07/02/21
Marlin,1950,07/02/21
Pez Volador,155,07/02/21
Tortugas,930,07/02/21
Ballenas,205,08/02/21
Caracol,335,08/02/21
Chac-Mool,160,08/02/21
Del Niño,210,08/02/21
Delfines,700,08/02/21
Gaviota Azul,950,08/02/21
Langosta,250,08/02/21
Las Perlas,163,08/02/21
Marlin,300,08/02/21
Pez Volador,80,08/02/21
Tortugas,650,08/02/21
Ballenas,120,09/02/21
Chac-Mool,240,09/02/21
Del Niño,380,09/02/21
Delfines,850,09/02/21
Gaviota Azul,750,09/02/21
Langosta,240,09/02/21
Las Perlas,143,09/02/21
Marlin,750,09/02/21
Pez Volador,160,09/02/21
Tortugas,130,09/02/21
Ballenas,50,10/02/21
Caracol,180,10/02/21
Chac-Mool,400,10/02/21
Del Niño,230,10/02/21
Delfines,1150,10/02/21
Gaviota Azul,1030,10/02/21
Langosta,283,10/02/21
Las Perlas,221,10/02/21
Marlin,570,10/02/21
Pez Volador,150,10/02/21
Ballenas,160,11/02/21
Caracol,133,11/02/21
Chac-Mool,140,11/02/21
Del Niño,380,11/02/21
Delfines,980,11/02/21
Gaviota Azul,650,11/02/21
Langosta,220,11/02/21
Las Perlas,168,11/02/21
Marlin,650,11/02/21
Pez Volador,160,11/02/21
Tortugas,500,11/02/21
Ballenas,125,12/02/21
Chac-Mool,500,12/02/21
Del Niño,313,12/02/21
Delfines,950,12/02/21
Gaviota Azul,1050,12/02/21
Langosta,165,12/02/21
Las Perlas,68,12/02/21
Marlin,200,12/02/21
Pez Volador,99,12/02/21
Tortugas,445,12/02/21
Ballenas,160,13/02/21
Caracol,620,13/02/21
Chac-Mool,240,13/02/21
Del Niño,1000,13/02/21
Delfines,1200,13/02/21
Gaviota Azul,1250,13/02/21
Langosta,380,13/02/21
Las Perlas,140,13/02/21
Marlin,780,13/02/21
Pez Volador,210,13/02/21
Tortugas,1120,13/02/21
Ballenas,180,14/02/21
Caracol,650,14/02/21
Chac-Mool,290,14/02/21
Del Niño,460,14/02/21
Delfines,1200,14/02/21
Gaviota Azul,1100,14/02/21
Langosta,450,14/02/21
Las Perlas,175,14/02/21
Marlin,1550,14/02/21
Pez Volador,340,14/02/21
Tortugas,1450,14/02/21
Ballenas,110,15/02/21
Caracol,195,15/02/21
Chac-Mool,500,15/02/21
Del Niño,400,15/02/21
Delfines,850,15/02/21
Gaviota Azul,620,15/02/21
Langosta,1050,15/02/21
Las Perlas,78,15/02/21
Marlin,315,15/02/21
Pez Volador,190,15/02/21
Tortugas,1000,15/02/21
Caracol,57,16/02/21
Chac-Mool,110,16/02/21
Del Niño,205,16/02/21
Delfines,750,16/02/21
Gaviota Azul,400,16/02/21
Langosta,155,16/02/21
Las Perlas,360,16/02/21
Marlin,145,16/02/21
Pez Volador,105,16/02/21
Ballenas,165,17/02/21
Chac-Mool,320,17/02/21
Del Niño,730,17/02/21
Delfines,1120,17/02/21
Gaviota Azul,880,17/02/21
Langosta,280,17/02/21
Las Perlas,168,17/02/21
Marlin,240,17/02/21
Pez Volador,120,17/02/21
Tortugas,220,17/02/21
Ballenas,165,18/02/21
Caracol,235,18/02/21
Chac-Mool,580,18/02/21
Del Niño,145,18/02/21
Delfines,980,18/02/21
Gaviota Azul,850,18/02/21
Langosta,400,18/02/21
Las Perlas,204,18/02/21
Marlin,285,18/02/21
Pez Volador,95,18/02/21
Tortugas,660,18/02/21
Ballenas,180,19/02/21
Caracol,238,19/02/21
Chac-Mool,260,19/02/21
Del Niño,320,19/02/21
Delfines,1090,19/02/21
Gaviota Azul,570,19/02/21
Langosta,86,19/02/21
Las Perlas,73,19/02/21
Marlin,200,19/02/21
Pez Volador,350,19/02/21
Tortugas,500,19/02/21
Ballenas,80,20/02/21
Caracol,73,20/02/21
Chac-Mool,210,20/02/21
Del Niño,125,20/02/21
Delfines,470,20/02/21
Gaviota Azul,900,20/02/21
Langosta,30,20/02/21
Las Perlas,53,20/02/21
Marlin,230,20/02/21
Pez Volador,50,20/02/21
Tortugas,280,20/02/21
Ballenas,240,21/02/21
Caracol,880,21/02/21
Chac-Mool,300,21/02/21
Del Niño,760,21/02/21
Delfines,2320,21/02/21
Gaviota Azul,2100,21/02/21
Langosta,550,21/02/21
Las Perlas,65,21/02/21
Marlin,1230,21/02/21
Pez Volador,350,21/02/21
Tortugas,800,21/02/21
Ballenas,103,22/02/21
Caracol,140,22/02/21
Chac-Mool,550,22/02/21
Del Niño,220,22/02/21
Delfines,1000,22/02/21
Gaviota Azul,520,22/02/21
Langosta,305,22/02/21
Las Perlas,130,22/02/21
Marlin,325,22/02/21
Pez Volador,165,22/02/21
Tortugas,165,22/02/21
Ballenas,130,23/02/21
Caracol,130,23/02/21
Chac-Mool,285,23/02/21
Del Niño,348,23/02/21
Delfines,780,23/02/21
Gaviota Azul,480,23/02/21
Langosta,180,23/02/21
Las Perlas,92,23/02/21
Marlin,730,23/02/21
Pez Volador,95,23/02/21
Tortugas,580,23/02/21
Ballenas,350,24/02/21
Caracol,195,24/02/21
Chac-Mool,400,24/02/21
Del Niño,420,24/02/21
Delfines,1100,24/02/21
Gaviota Azul,540,24/02/21
Langosta,560,24/02/21
Las Perlas,135,24/02/21
Marlin,760,24/02/21
Pez Volador,170,24/02/21
Tortugas,348,24/02/21
Ballenas,260,25/02/21
Chac-Mool,225,25/02/21
Del Niño,180,25/02/21
Delfines,850,25/02/21
Gaviota Azul,980,25/02/21
Langosta,260,25/02/21
Las Perlas,125,25/02/21
Marlin,700,25/02/21
Pez Volador,110,25/02/21
Tortugas,500,25/02/21
Ballenas,45,01/03/21
Chac-Mool,300,01/03/21
Del Niño,270,01/03/21
Delfines,620,01/03/21
Gaviota Azul,1000,01/03/21
Langosta,360,01/03/21
Las Perlas,140,01/03/21
Marlin,240,01/03/21
Pez Volador,100,01/03/21
Tortugas,1030,01/03/21
Ballenas,150,02/03/21
Chac-Mool,70,02/03/21
Del Niño,770,02/03/21
Delfines,1150,02/03/21
Gaviota Azul,950,02/03/21
Langosta,215,02/03/21
Las Perlas,180,02/03/21
Marlin,730,02/03/21
Pez Volador,110,02/03/21
Tortugas,750,02/03/21
Ballenas,140,03/03/21
Caracol,185,03/03/21
Chac-Mool,280,03/03/21
Del Niño,610,03/03/21
Delfines,1200,03/03/21
Gaviota Azul,1150,03/03/21
Langosta,330,03/03/21
Las Perlas,175,03/03/21
Marlin,270,03/03/21
Pez Volador,140,03/03/21
Tortugas,328,03/03/21
Ballenas,205,04/03/21
Caracol,150,04/03/21
Chac-Mool,200,04/03/21
Del Niño,281,04/03/21
Delfines,1100,04/03/21
Gaviota Azul,600,04/03/21
Langosta,450,04/03/21
Las Perlas,210,04/03/21
Marlin,335,04/03/21
Pez Volador,120,04/03/21
Tortugas,620,04/03/21
Ballenas,340,05/03/21
Chac-Mool,300,05/03/21
Del Niño,305,05/03/21
Delfines,910,05/03/21
Gaviota Azul,1050,05/03/21
Langosta,430,05/03/21
Las Perlas,140,05/03/21
Marlin,850,05/03/21
Pez Volador,280,05/03/21
Tortugas,275,05/03/21
Ballenas,70,06/03/21
Caracol,280,06/03/21
Chac-Mool,140,06/03/21
Del Niño,300,06/03/21
Delfines,600,06/03/21
Gaviota Azul,400,06/03/21
Langosta,570,06/03/21
Las Perlas,420,06/03/21
Marlin,550,06/03/21
Pez Volador,160,06/03/21
Tortugas,450,06/03/21
Ballenas,160,07/03/21
Caracol,263,07/03/21
Chac-Mool,410,07/03/21
Del Niño,885,07/03/21
Delfines,1600,07/03/21
Gaviota Azul,4200,07/03/21
Langosta,1100,07/03/21
Las Perlas,580,07/03/21
Marlin,1600,07/03/21
Pez Volador,240,07/03/21
Tortugas,1100,07/03/21
Ballenas,132,08/03/21
Caracol,102,08/03/21
Chac-Mool,150,08/03/21
Del Niño,420,08/03/21
Delfines,950,08/03/21
Gaviota Azul,750,08/03/21
Langosta,220,08/03/21
Las Perlas,165,08/03/21
Marlin,750,08/03/21
Pez Volador,120,08/03/21
Tortugas,320,08/03/21
Ballenas,85,09/03/21
Caracol,100,09/03/21
Chac-Mool,150,09/03/21
Del Niño,235,09/03/21
Delfines,1010,09/03/21
Gaviota Azul,950,09/03/21
Langosta,430,09/03/21
Las Perlas,115,09/03/21
Marlin,500,09/03/21
Pez Volador,150,09/03/21
Tortugas,630,09/03/21
Ballenas,115,10/03/21
Caracol,283,10/03/21
Chac-Mool,135,10/03/21
Del Niño,175,10/03/21
Delfines,900,10/03/21
Gaviota Azul,1150,10/03/21
Langosta,250,10/03/21
Las Perlas,95,10/03/21
Marlin,260,10/03/21
Pez Volador,145,10/03/21
Tortugas,750,10/03/21
Ballenas,35,11/03/21
Chac-Mool,106,11/03/21
Del Niño,380,11/03/21
Delfines,1000,11/03/21
Gaviota Azul,550,11/03/21
Langosta,280,11/03/21
Las Perlas,124,11/03/21
Marlin,250,11/03/21
Pez Volador,150,11/03/21
Tortugas,300,11/03/21
Ballenas,250,12/03/21
Caracol,105,12/03/21
Chac-Mool,160,12/03/21
Del Niño,220,12/03/21
Delfines,970,12/03/21
Gaviota Azul,1350,12/03/21
Langosta,200,12/03/21
Las Perlas,96,12/03/21
Marlin,750,12/03/21
Pez Volador,55,12/03/21
Tortugas,325,12/03/21
Ballenas,95,13/03/21
Chac-Mool,780,13/03/21
Del Niño,700,13/03/21
Delfines,1850,13/03/21
Gaviota Azul,1600,13/03/21
Langosta,750,13/03/21
Las Perlas,170,13/03/21
Marlin,750,13/03/21
Pez Volador,300,13/03/21
Tortugas,450,13/03/21
Ballenas,120,14/03/21
Chac-Mool,900,14/03/21
Del Niño,1100,14/03/21
Delfines,1760,14/03/21
Gaviota Azul,1490,14/03/21
Langosta,1100,14/03/21
Las Perlas,350,14/03/21
Marlin,3150,14/03/21
Pez Volador,410,14/03/21
Tortugas,580,14/03/21
Ballenas,450,15/03/21
Caracol,320,15/03/21
Chac-Mool,410,15/03/21
Del Niño,840,15/03/21
Delfines,1600,15/03/21
Gaviota Azul,1850,15/03/21
Langosta,1040,15/03/21
Las Perlas,280,15/03/21
Marlin,1600,15/03/21
Pez Volador,410,15/03/21
Tortugas,1100,15/03/21
Ballenas,400,16/03/21
Caracol,255,16/03/21
Chac-Mool,285,16/03/21
Del Niño,260,16/03/21
Delfines,790,16/03/21
Gaviota Azul,700,16/03/21
Langosta,430,16/03/21
Las Perlas,150,16/03/21
Marlin,650,16/03/21
Pez Volador,210,16/03/21
Tortugas,650,16/03/21
Ballenas,280,17/03/21
Caracol,115,17/03/21
Chac-Mool,150,17/03/21
Del Niño,120,17/03/21
Delfines,1300,17/03/21
Gaviota Azul,280,17/03/21
Langosta,290,17/03/21
Las Perlas,150,17/03/21
Marlin,375,17/03/21
Pez Volador,235,17/03/21
Tortugas,950,17/03/21
Ballenas,93,18/03/21
Caracol,600,18/03/21
Chac-Mool,365,18/03/21
Del Niño,270,18/03/21
Delfines,1000,18/03/21
Gaviota Azul,800,18/03/21
Langosta,140,18/03/21
Las Perlas,250,18/03/21
Marlin,700,18/03/21
Pez Volador,280,18/03/21
Tortugas,650,18/03/21
Ballenas,180,19/03/21
Caracol,500,19/03/21
Chac-Mool,220,19/03/21
Del Niño,418,19/03/21
Delfines,1100,19/03/21
Gaviota Azul,600,19/03/21
Langosta,390,19/03/21
Las Perlas,125,19/03/21
Marlin,440,19/03/21
Pez Volador,190,19/03/21
Tortugas,750,19/03/21
Chac-Mool,330,20/03/21
Del Niño,800,20/03/21
Delfines,1100,20/03/21
Gaviota Azul,1050,20/03/21
Langosta,450,20/03/21
Las Perlas,300,20/03/21
Marlin,790,20/03/21
Pez Volador,330,20/03/21
Tortugas,600,20/03/21
Ballenas,370,21/03/21
Caracol,288,21/03/21
Chac-Mool,370,21/03/21
Del Niño,1180,21/03/21
Delfines,1670,21/03/21
Gaviota Azul,1660,21/03/21
Langosta,750,21/03/21
Las Perlas,285,21/03/21
Marlin,1600,21/03/21
Pez Volador,450,21/03/21
Tortugas,520,21/03/21
Ballenas,190,22/03/21
Caracol,165,22/03/21
Chac-Mool,425,22/03/21
Del Niño,350,22/03/21
Delfines,1250,22/03/21
Gaviota Azul,750,22/03/21
Langosta,360,22/03/21
Las Perlas,120,22/03/21
Marlin,1600,22/03/21
Pez Volador,190,22/03/21
Tortugas,400,22/03/21
Ballenas,50,23/03/21
Caracol,370,23/03/21
Chac-Mool,590,23/03/21
Del Niño,313,23/03/21
Delfines,700,23/03/21
Gaviota Azul,470,23/03/21
Langosta,510,23/03/21
Las Perlas,101,23/03/21
Marlin,240,23/03/21
Pez Volador,220,23/03/21
Tortugas,1200,23/03/21
Ballenas,110,24/03/21
Caracol,540,24/03/21
Chac-Mool,220,24/03/21
Del Niño,320,24/03/21
Delfines,100,24/03/21
Gaviota Azul,800,24/03/21
Langosta,400,24/03/21
Las Perlas,150,24/03/21
Marlin,570,24/03/21
Pez Volador,210,24/03/21
Tortugas,700,24/03/21
Ballenas,400,25/03/21
Chac-Mool,350,25/03/21
Del Niño,260,25/03/21
Delfines,900,25/03/21
Gaviota Azul,600,25/03/21
Langosta,260,25/03/21
Las Perlas,155,25/03/21
Marlin,220,25/03/21
Pez Volador,210,25/03/21
Tortugas,675,25/03/21
Ballenas,170,26/03/21
Caracol,285,26/03/21
Chac-Mool,500,26/03/21
Del Niño,350,26/03/21
Delfines,1300,26/03/21
Gaviota Azul,1150,26/03/21
Langosta,500,26/03/21
Las Perlas,145,26/03/21
Marlin,245,26/03/21
Tortugas,550,26/03/21
Ballenas,180,27/03/21
Caracol,500,27/03/21
Chac-Mool,720,27/03/21
Del Niño,310,27/03/21
Delfines,2060,27/03/21
Gaviota Azul,1050,27/03/21
Langosta,400,27/03/21
Las Perlas,260,27/03/21
Marlin,1100,27/03/21
Pez Volador,320,27/03/21
Tortugas,400,27/03/21
Ballenas,210,28/03/21
Caracol,280,28/03/21
Chac-Mool,820,28/03/21
Del Niño,790,28/03/21
Delfines,1500,28/03/21
Gaviota Azul,2800,28/03/21
Langosta,700,28/03/21
Las Perlas,220,28/03/21
Marlin,1150,28/03/21
Pez Volador,350,28/03/21
Tortugas,1830,28/03/21
Ballenas,160,01/04/21
Caracol,290,01/04/21
Chac-Mool,350,01/04/21
Del Niño,490,01/04/21
Delfines,980,01/04/21
Gaviota Azul,960,01/04/21
Langosta,305,01/04/21
Las Perlas,235,01/04/21
Marlin,500,01/04/21
Pez Volador,350,01/04/21
Tortugas,950,01/04/21
Ballenas,230,02/04/21
Caracol,75,02/04/21
Chac-Mool,120,02/04/21
Del Niño,550,02/04/21
Delfines,2850,02/04/21
Gaviota Azul,1150,02/04/21
Langosta,260,02/04/21
Las Perlas,145,02/04/21
Marlin,970,02/04/21
Pez Volador,290,02/04/21
Tortugas,175,02/04/21
Ballenas,220,03/04/21
Caracol,450,03/04/21
Chac-Mool,430,03/04/21
Del Niño,520,03/04/21
Delfines,2600,03/04/21
Gaviota Azul,1650,03/04/21
Langosta,600,03/04/21
Las Perlas,290,03/04/21
Marlin,4850,03/04/21
Pez Volador,420,03/04/21
Tortugas,285,03/04/21
Ballenas,427,04/04/21
Caracol,700,04/04/21
Chac-Mool,370,04/04/21
Del Niño,595,04/04/21
Delfines,3700,04/04/21
Gaviota Azul,2050,04/04/21
Langosta,800,04/04/21
Las Perlas,250,04/04/21
Marlin,1900,04/04/21
Pez Volador,470,04/04/21
Tortugas,230,04/04/21
Ballenas,70,05/04/21
Caracol,335,05/04/21
Chac-Mool,350,05/04/21
Del Niño,260,05/04/21
Delfines,1100,05/04/21
Gaviota Azul,1030,05/04/21
Langosta,480,05/04/21
Las Perlas,100,05/04/21
Marlin,650,05/04/21
Pez Volador,290,05/04/21
Tortugas,250,05/04/21
Ballenas,80,06/04/21
Caracol,700,06/04/21
Chac-Mool,130,06/04/21
Del Niño,320,06/04/21
Delfines,720,06/04/21
Gaviota Azul,720,06/04/21
Langosta,600,06/04/21
Las Perlas,100,06/04/21
Marlin,420,06/04/21
Pez Volador,390,06/04/21
Tortugas,260,06/04/21
Ballenas,70,07/04/21
Caracol,612,07/04/21
Chac-Mool,1050,07/04/21
Del Niño,261,07/04/21
Delfines,550,07/04/21
Gaviota Azul,20,07/04/21
Langosta,150,07/04/21
Las Perlas,153,07/04/21
Marlin,250,07/04/21
Pez Volador,280,07/04/21
Tortugas,275,07/04/21
Ballenas,60,08/04/21
Caracol,510,08/04/21
Chac-Mool,125,08/04/21
Del Niño,1200,08/04/21
Delfines,600,08/04/21
Gaviota Azul,390,08/04/21
Langosta,550,08/04/21
Las Perlas,180,08/04/21
Marlin,325,08/04/21
Pez Volador,270,08/04/21
Tortugas,350,08/04/21
Ballenas,50,09/04/21
Caracol,310,09/04/21
Chac-Mool,105,09/04/21
Del Niño,500,09/04/21
Delfines,1790,09/04/21
Gaviota Azul,310,09/04/21
Langosta,390,09/04/21
Las Perlas,180,09/04/21
Marlin,800,09/04/21
Pez Volador,188,09/04/21
Tortugas,350,09/04/21
Ballenas,89,10/04/21
Caracol,425,10/04/21
Chac-Mool,310,10/04/21
Del Niño,630,10/04/21
